#,Club Name,Category,Area / Location,Website,Instagram,Email / Contact,Phone,Est. Members,Priority,Notes
30,The Rebellious Wine Club,Wine / Dining,Clerkenwell EC1R (near King's Cross),bandhbuildings.com/rebellious-wine-club,@bourneandhollingsworth,info@bandhgroup.com,,Ticket-based events,★★★★,"Female-led; anti-stuffy wine events. Clerkenwell — under 1 mile from King's Cross."
31,London Women and Wine Club,Wine / Dining,London-wide (private venues),winewomenclub.com,@londonwomenandwine,Via website,,Small exclusive,★★★,"Monthly meetings at beautiful private venues. Women's networking with wine."
32,London Wine Fans,Wine / Social,London-wide,meetup.com/londonwinefans,,Via Meetup (organiser: Debbie),,3078,★★★,"Large social wine group. 3K+ members — good reach."
33,International Wine & Food Society (London),Wine / Dining,"St James's SW1Y, 4 St James's Square",iwfs.london,,iwfs.org/contact,,Established,★★,"London's oldest dining society. 6+ events per quarter. More formal demographic."
34,London Supper Clubs Meetup,Supper Club / Social Dining,London-wide,meetup.com/london-supper-clubs-meetup-group,@supperclub.community (14K),Via Meetup,,Active since 2014,★★★,"Large foodie community. Running since 2014. Crossover with bachata social culture."
35,Babble London Language Exchange,Language Exchange / International,"Holborn (Tues 7pm), Brick Lane (Thu)",meetup.com/BabbleLondon,@babblelondon (2.4K),Via Instagram DM / WhatsApp,,60+ weekly,★★★★★,"TUESDAY EVENINGS in Holborn — 15 min from King's Cross. International crowd = natural bachata fit."
36,World Citizens London,International / Expats,Central London,worldcitizen.london,@worldcitizenslondon,worldcitizen.london/contact,,Large (since 2012),★★★★,"Global professionals and expats. Tuesday socials. One of London's largest international communities."
37,Languages in London,Language Exchange / International,London-wide,languages.london,,Via website,,Large weekly events,★★★,"Largest language exchange in London. Weekly events. Small entry fee (£2)."
38,London Expats Culture & Social,International / Expats,London,meetup.com/London-Expats-Language-Exchange-and-Social,,Via Meetup,,6900+,★★★,"Huge expat community. Cultural events. Latin American and global members — natural bachata audience."
39,Kings Cross Steelers RFC,LGBTQ+ / Rugby,King's Cross,kxsrfc.com (search),@kxsrfc (13K),recruitment@kxsrfc.com,,250+ players,★★★★★,"World's first gay-inclusive rugby club. BASED IN KING'S CROSS. 13K Instagram. Real email confirmed."
40,London Frontrunners,LGBTQ+ / Running,London-wide,londonfrontrunners.org,@ldnfrontrunners (4.3K),info@londonfrontrunners.org,,600+,★★★★,"Europe's largest LGBT+ sports club. Post-run pub socials. Annual awards and parties."
41,London LGBTQ+ Community Centre,LGBTQ+ / Community,"Bloomsbury WC1N (66 Marchmont St)",londonlgbtqcentre.org,,bookings@londonlgbtqcentre.org; hello@londonlgbtqcentre.org,,Multiple groups,★★★★★,"WALKING DISTANCE from King's Cross. Queer Book Club + Film Club + socials. Real emails confirmed."
42,Queer 20s/30s London,LGBTQ+ / Social,"London (Green Park, weekly Sat)",queer-london.github.io,,Via website,,Weekly meetups,★★★,"Young inclusive community 20s/30s. Safe-space social events. Perfect demo for bachata."
43,LGBTQ+ London (Meetup),LGBTQ+ / Cultural,London-wide,meetup.com/lgbtq-london,,Via Meetup,,Active,★★★,"All-inclusive social events — museums, galleries, nights out. Open social format."
44,City Professionals Network (CPN),Professional Networking,Farringdon (near King's Cross),cityprofessionalsnetwork.co.uk,,admin@cityprofessionalsnetwork.co.uk,,80+/event; 17yrs established,★★★★,"Monthly Farringdon events (under 1 mile from King's Cross). Under-35 CYP focus. Real email confirmed."
45,The Young Professional (LYPN),Professional Networking,London-wide,theyoungprofessional.co.uk,,Via website contact form,,Cross-industry,★★★,"London's leading cross-industry young professionals network. Skills sessions and venue events."
46,London Social Society,Professional / Social,London-wide,meetup.com/London-Social-Society,,welove.socialise@gmail.com,,Active professionals,★★★,"Rooftop parties + dancing already part of their scene. Bachata fits naturally. Real email confirmed."
47,Young Professionals in London,Young Professionals,Central London,meetup.com/youngprofessionalsinlondon,,Via Meetup,,20000+,★★★★,"London's LARGEST young professionals Meetup group. 20K members — massive outreach potential."
48,The Great Friendship Project,Young Adults 20s/30s,London-wide,friendship-project.co.uk,@friendshiplondon / @great.friendship,Via website contact form,,45000+,★★★★★,"300+ events. Non-profit tackling loneliness. Activity-social format = PERFECT fit for bachata night out."
49,LDN Social (20s-30s),Young Adults / Social,Central London,meetup.com/ldnsocial20s30s,@ldn_social,Via Instagram + WhatsApp,,Active,★★★,"Friday socials. WhatsApp community. Young social demographic — ideal."
50,Smart Socials,Young Professionals,Central London (Green Park area),meetup.com/smart-socials,,Via Meetup,,Active (21-35),★★,"Free to join. Regular events at top London venues. Active 2025-26 calendar."
